idx_a,idx_b,feat_a,feat_b,shap_interaction,feat_a_shap,feat_b_shap
0,16,sleep_duration,stress_pal,0.26381680369377136,0.996743381023407,0.5336976647377014
0,8,sleep_duration,stress_level,0.22645780444145203,0.996743381023407,0.4518119990825653
8,10,stress_level,physical_activity_level,0.08982319384813309,0.4518119990825653,0.30726319551467896
0,10,sleep_duration,physical_activity_level,0.08637312054634094,0.996743381023407,0.30726319551467896
0,2,sleep_duration,bmi,0.05514432117342949,0.996743381023407,0.4590221345424652
10,16,physical_activity_level,stress_pal,0.04989362508058548,0.30726319551467896,0.5336976647377014
0,5,sleep_duration,exercise_duration,0.03524727374315262,0.996743381023407,0.12609007954597473
8,16,stress_level,stress_pal,0.03405480086803436,0.4518119990825653,0.5336976647377014
0,4,sleep_duration,step_count,0.030494311824440956,0.996743381023407,0.1052289828658104
2,16,bmi,stress_pal,0.029348772019147873,0.4590221345424652,0.5336976647377014
0,1,sleep_duration,heart_rate,0.02852954901754856,0.996743381023407,0.12827566266059875
0,6,sleep_duration,water_intake,0.028351537883281708,0.996743381023407,0.14126448333263397
5,16,exercise_duration,stress_pal,0.028190381824970245,0.12609007954597473,0.5336976647377014
2,5,bmi,exercise_duration,0.025780655443668365,0.4590221345424652,0.12609007954597473
5,10,exercise_duration,physical_activity_level,0.02458520233631134,0.12609007954597473,0.30726319551467896
4,5,step_count,exercise_duration,0.02432267926633358,0.1052289828658104,0.12609007954597473
0,9,sleep_duration,sleep_quality,0.024064194411039352,0.996743381023407,0.05883661285042763
0,11,sleep_duration,smoking_alcohol,0.024005908519029617,0.996743381023407,0.1596551090478897
0,3,sleep_duration,calorie_expenditure,0.022457275539636612,0.996743381023407,0.0736626386642456
0,15,sleep_duration,step_cat_,0.022089993581175804,0.996743381023407,0.06977128982543945
1,16,heart_rate,stress_pal,0.022052736952900887,0.12827566266059875,0.5336976647377014
2,8,bmi,stress_level,0.021938711404800415,0.4590221345424652,0.4518119990825653
1,2,heart_rate,bmi,0.02130400948226452,0.12827566266059875,0.4590221345424652
2,6,bmi,water_intake,0.021198851987719536,0.4590221345424652,0.14126448333263397
1,5,heart_rate,exercise_duration,0.02117711305618286,0.12827566266059875,0.12609007954597473
4,16,step_count,stress_pal,0.02103033848106861,0.1052289828658104,0.5336976647377014
1,6,heart_rate,water_intake,0.020195133984088898,0.12827566266059875,0.14126448333263397
2,4,bmi,step_count,0.019274510443210602,0.4590221345424652,0.1052289828658104
4,10,step_count,physical_activity_level,0.01919839158654213,0.1052289828658104,0.30726319551467896
5,6,exercise_duration,water_intake,0.019124889746308327,0.12609007954597473,0.14126448333263397
0,13,sleep_duration,calorie_cat_,0.01878342218697071,0.996743381023407,0.059091661125421524
1,4,heart_rate,step_count,0.0183892622590065,0.12827566266059875,0.1052289828658104
6,16,water_intake,stress_pal,0.018259935081005096,0.14126448333263397,0.5336976647377014
5,8,exercise_duration,stress_level,0.017306553199887276,0.12609007954597473,0.4518119990825653
1,15,heart_rate,step_cat_,0.017280830070376396,0.12827566266059875,0.06977128982543945
3,6,calorie_expenditure,water_intake,0.016343876719474792,0.0736626386642456,0.14126448333263397
