col_a,col_b,col_c,n_unique,cramers_v,naive_ba
stress_level,sleep_quality,physical_activity_level,64,0.6032158612071113,0.5430616277826436
stress_level,physical_activity_level,smoking_alcohol,56,0.5717493743944152,0.5317455856064884
diet_type,stress_level,physical_activity_level,64,0.5628998473666502,0.585306557169421
stress_level,physical_activity_level,gender,64,0.56251894137702,0.585306557169421
stress_level,sleep_quality,smoking_alcohol,64,0.4447940781997618,0.3899438535850672
diet_type,stress_level,sleep_quality,64,0.4331604616244337,0.3333333333333333
stress_level,sleep_quality,gender,64,0.4330033425248531,0.3333333333333333
diet_type,stress_level,smoking_alcohol,64,0.4014954334183494,0.3333333333333333
stress_level,smoking_alcohol,gender,64,0.4013355507132255,0.3333333333333333
diet_type,stress_level,gender,56,0.3880199402810482,0.3333333333333333
sleep_quality,physical_activity_level,smoking_alcohol,56,0.2891138865798925,0.3333333333333333
diet_type,sleep_quality,physical_activity_level,64,0.2734543406359973,0.3333333333333333
sleep_quality,physical_activity_level,gender,64,0.2729752416614878,0.3333333333333333
diet_type,physical_activity_level,smoking_alcohol,56,0.25425353870144046,0.3333333333333333
physical_activity_level,smoking_alcohol,gender,56,0.2537109034013725,0.3333333333333333
diet_type,physical_activity_level,gender,56,0.23638343555770602,0.3333333333333333
diet_type,sleep_quality,smoking_alcohol,64,0.14062938814765055,0.3333333333333333
sleep_quality,smoking_alcohol,gender,64,0.14039358949451428,0.3333333333333333
diet_type,sleep_quality,gender,56,0.11725250109330801,0.3333333333333333
diet_type,smoking_alcohol,gender,56,0.07805832321052304,0.3333333333333333
