col_a,col_b,n_unique,cramers_v,naive_ba,chi2_p
stress_level,physical_activity_level,16,0.5623192799791199,0.585306557169421,0.0
stress_level,sleep_quality,16,0.4325768902501724,0.3333333333333333,0.0
stress_level,smoking_alcohol,16,0.400855945622789,0.3333333333333333,0.0
diet_type,stress_level,16,0.3875617815449255,0.3333333333333333,0.0
stress_level,gender,16,0.3873731414379623,0.3333333333333333,0.0
sleep_quality,physical_activity_level,16,0.2723012072405602,0.3333333333333333,0.0
physical_activity_level,smoking_alcohol,14,0.25303434789789514,0.3333333333333333,0.0
diet_type,physical_activity_level,16,0.23564037960270917,0.3333333333333333,0.0
physical_activity_level,gender,16,0.23505932059407422,0.3333333333333333,0.0
sleep_quality,smoking_alcohol,16,0.13945036617439968,0.3333333333333333,0.0
diet_type,sleep_quality,16,0.11627018659429093,0.3333333333333333,0.0
sleep_quality,gender,16,0.1159585904559453,0.3333333333333333,0.0
diet_type,smoking_alcohol,16,0.07655449383787725,0.3333333333333333,0.0
smoking_alcohol,gender,16,0.0760142495948341,0.3333333333333333,0.0
diet_type,gender,14,0.020447320463483458,0.3333333333333333,3.606916133794348e-105
